id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
804,GJ 3512 c,31,0.2 Jupiters,15.18,2020
805,GJ 357 b,31,1.84 Earths,10.91,2019
806,GJ 357 c,31,3.4 Earths,10.91,2019
807,GJ 357 d,31,6.1 Earths,10.91,2019
808,GJ 3634 b,66,8.4 Earths,11.938,2010
809,GJ 367 b,31,0.633 Earths,10.153,2021
810,GJ 367 c,31,4.13 Earths,10.153,2023
811,GJ 367 d,31,6.03 Earths,10.153,2023
812,GJ 3779 b,45,8 Earths,13.04,2018
813,GJ 3929 b,52,1.75 Earths,12.675,2022
814,GJ 3929 c,52,5.71 Earths,12.675,2022
815,GJ 393 b,23,1.71 Earths,9.65,2021
816,GJ 3942 b,55,7.14 Earths,10.166,2017
817,GJ 3988 b,32,3.69 Earths,13.627,2023
818,GJ 3998 b,59,2.47 Earths,10.844,2016
819,GJ 3998 c,59,6.26 Earths,10.844,2016
820,GJ 411 b,19,2.69 Earths,7.421,2019
821,GJ 414 A b,39,7.6 Earths,8.31,2021
822,GJ 414 A c,39,0.16937 Jupiters,8.31,2021
823,GJ 422 b,41,11.07 Earths,11.66,2014
824,GJ 4276 b,70,16.57 Earths,12.903,2019
825,GJ 680 b,32,25.1 Jupiters,10.129,2022
826,GJ 682 b,16,4.4 Earths,10.94,2014
827,GJ 682 c,16,8.7 Earths,10.94,2014
828,GJ 685 b,47,9 Earths,9.98,2019
829,GJ 687 b,15,17.2 Earths,9.15,2014
830,GJ 687 c,15,16 Earths,9.15,2020
831,GJ 720 A b,51,13.64 Earths,9.84,2021
832,GJ 724 b,55,10.75 Earths,10.638,2023
833,GJ 740 b,36,2.96 Earths,9.22,2021
834,GJ 806 b,39,1.9 Earths,10.79,2023
835,GJ 806 c,39,5.8 Earths,10.79,2023
836,GJ 832 b,16,0.99 Jupiters,8.66,2008
837,GJ 849 b,29,0.893 Jupiters,10.41,2006
838,GJ 849 c,29,0.99 Jupiters,10.41,2014
839,GJ 86 b,35,4.42 Jupiters,6.12,1999
840,GJ 876 b,15,2.2756 Jupiters,10.16,1998
841,GJ 876 c,15,0.7142 Jupiters,10.16,2000
842,GJ 876 d,15,6.83 Earths,10.16,2005
843,GJ 876 e,15,14.6 Earths,10.16,2010
844,GJ 887 b,11,4.2 Earths,7.33,2020
845,GJ 887 c,11,7.6 Earths,7.33,2020
846,GJ 896 A b,20,2.26 Jupiters,10.05,2022
847,GJ 9066 c,15,0.21 Jupiters,12.71,2020
848,GJ 9404 b,78,11.9 Earths,10.62,2023
849,GJ 9689 b,100,9.65 Earths,11.297,2020
850,HATS-28 b,1746,0.672 Jupiters,13.981,2016
851,HATS-29 b,1154,0.653 Jupiters,12.62,2016
852,HATS-2 b,1115,1.345 Jupiters,13.565,2013
853,HATS-30 b,1116,0.706 Jupiters,12.283,2016
854,HATS-31 b,2525,0.88 Jupiters,13.315,2016
855,HATS-32 b,2431,0.92 Jupiters,14.386,2016
856,HATS-33 b,810,1.192 Jupiters,11.91,2016
857,HATS-34 b,1660,0.941 Jupiters,13.857,2016
858,HATS-35 b,1678,1.222 Jupiters,12.609,2016
859,HATS-36 b,2794,3.216 Jupiters,14.364,2018
860,HATS-37 A b,691,31.46517 Earths,12.341,2020
861,HATS-38 b,1121,23.51942 Earths,11.967,2020
862,HATS-39 b,2866,0.63 Jupiters,12.745,2018
863,HATS-3 b,1341,1.071 Jupiters,12.433,2013
864,HATS-40 b,4379,1.59 Jupiters,13.478,2018
865,HATS-41 b,2406,9.7 Jupiters,12.678,2018
866,HATS-42 b,2611,1.88 Jupiters,13.682,2018
867,HATS-43 b,1182,0.261 Jupiters,13.562,2018
868,HATS-44 b,1455,0.56 Jupiters,14.397,2018
869,HATS-45 b,2519,0.7 Jupiters,13.325,2018
870,HATS-46 b,1480,0.173 Jupiters,13.783,2018
871,HATS-47 b,981,0.369 Jupiters,14.602,2020
872,HATS-48 A b,860,0.243 Jupiters,14.226,2020
873,HATS-49 b,1058,0.353 Jupiters,14.988,2020
874,HATS-4 b,1358,1.323 Jupiters,13.516,2014
875,GJ 680 b,32,25.1 Jupiters,10.129,2022
876,GJ 682 b,16,4.4 Earths,10.94,2014
877,GJ 682 c,16,8.7 Earths,10.94,2014
878,GJ 685 b,47,9 Earths,9.98,2019
879,GJ 687 b,15,17.2 Earths,9.15,2014
880,GJ 687 c,15,16 Earths,9.15,2020
881,GJ 720 A b,51,13.64 Earths,9.84,2021
882,GJ 724 b,55,10.75 Earths,10.638,2023
883,GJ 740 b,36,2.96 Earths,9.22,2021
884,GJ 806 b,39,1.9 Earths,10.79,2023
885,GJ 806 c,39,5.8 Earths,10.79,2023
886,GJ 832 b,16,0.99 Jupiters,8.66,2008
887,GJ 849 b,29,0.893 Jupiters,10.41,2006
888,GJ 849 c,29,0.99 Jupiters,10.41,2014
889,GJ 86 b,35,4.42 Jupiters,6.12,1999
890,GJ 876 b,15,2.2756 Jupiters,10.16,1998
891,GJ 876 c,15,0.7142 Jupiters,10.16,2000
892,GJ 876 d,15,6.83 Earths,10.16,2005
893,GJ 876 e,15,14.6 Earths,10.16,2010
894,GJ 887 b,11,4.2 Earths,7.33,2020
895,GJ 887 c,11,7.6 Earths,7.33,2020
896,GJ 896 A b,20,2.26 Jupiters,10.05,2022
897,GJ 9066 c,15,0.21 Jupiters,12.71,2020
898,GJ 9404 b,78,11.9 Earths,10.62,2023
899,GJ 9689 b,100,9.65 Earths,11.297,2020
900,HATS-28 b,1746,0.672 Jupiters,13.981,2016
901,HATS-29 b,1154,0.653 Jupiters,12.62,2016
902,HATS-2 b,1115,1.345 Jupiters,13.565,2013
903,HATS-30 b,1116,0.706 Jupiters,12.283,2016
904,HATS-31 b,2525,0.88 Jupiters,13.315,2016
905,HATS-32 b,2431,0.92 Jupiters,14.386,2016
906,HATS-33 b,810,1.192 Jupiters,11.91,2016
907,HATS-34 b,1660,0.941 Jupiters,13.857,2016
908,HATS-35 b,1678,1.222 Jupiters,12.609,2016
909,HATS-36 b,2794,3.216 Jupiters,14.364,2018
910,HATS-37 A b,691,31.46517 Earths,12.341,2020
911,HATS-38 b,1121,23.51942 Earths,11.967,2020
912,HATS-39 b,2866,0.63 Jupiters,12.745,2018
913,HATS-3 b,1341,1.071 Jupiters,12.433,2013
914,HATS-40 b,4379,1.59 Jupiters,13.478,2018
915,HATS-41 b,2406,9.7 Jupiters,12.678,2018
916,HATS-42 b,2611,1.88 Jupiters,13.682,2018
917,HATS-43 b,1182,0.261 Jupiters,13.562,2018
918,HATS-44 b,1455,0.56 Jupiters,14.397,2018
919,HATS-45 b,2519,0.7 Jupiters,13.325,2018
